username,post_id,url,content,views,likes,comments,reposts,shares,source,created_at,fetched_at
gvmonthly,DMpSuZlzJMK,https://www.threads.com/@gvmonthly/post/DMpSuZlzJMK,>>>福源花生醬黃麴毒素超標 https://www.gvm.com.tw/article/123022,1700,74,7,1,2,jina_api,2025-08-04 07:21:00.808703+00:00,2025-08-04 07:21:00.808703+00:00
gvmonthly,DMpSsqhTZCT,https://www.threads.com/@gvmonthly/post/DMpSsqhTZCT,福源很好吃，但花生類製品真的不好保存，大家要小心😢,18300,74,7,1,2,jina_api,2025-08-04 07:21:00.804084+00:00,2025-08-04 07:21:00.804084+00:00
gvmonthly,DMrO0-mTcR5,https://www.threads.com/@gvmonthly/post/DMrO0-mTcR5,>>>數甲5標、物理頂標創近4年新高 https://www.gvm.com.tw/article/121980,1500,127,5,3,2,jina_api,2025-08-04 07:21:00.798057+00:00,2025-08-04 07:21:00.798057+00:00
gvmonthly,DMpnG3qzrU4,https://www.threads.com/@gvmonthly/post/DMpnG3qzrU4,>>>雨一直下 https://www.gvm.com.tw/article/123046,2400,138,3,2,6,jina_api,2025-08-04 07:21:00.790414+00:00,2025-08-04 07:21:00.790414+00:00
gvmonthly,DMpnFQ7TbH0,https://www.threads.com/@gvmonthly/post/DMpnFQ7TbH0,嘉義縣、台南、高雄和屏東明天都停班停課了，請大家注意安全！,26400,138,3,2,6,jina_api,2025-08-04 07:21:00.780454+00:00,2025-08-04 07:21:00.780454+00:00
gvmonthly,DMrYNkNz_4m,https://www.threads.com/@gvmonthly/post/DMrYNkNz_4m,>>>川普說可能是這兩個數字其中一個 https://www.gvm.com.tw/article/123058,2400,137,13,1,1,jina_api,2025-08-04 06:29:10.209546+00:00,2025-08-04 06:29:10.209546+00:00
gvmonthly,DMrOzSRTlxu,https://www.threads.com/@gvmonthly/post/DMrOzSRTlxu,該面對現實了，大學分科測驗成績已公布可以查詢囉！,20100,127,5,3,2,jina_api,2025-08-04 06:29:10.203399+00:00,2025-08-04 06:29:10.203399+00:00
gvmonthly,DMrYKM4zK9R,https://www.threads.com/@gvmonthly/post/DMrYKM4zK9R,7月底了，剩下的國家都會在15~20%？,30300,137,13,1,1,jina_api,2025-08-04 06:29:10.195443+00:00,2025-08-04 06:29:10.195443+00:00
gvmonthly,DMru8rzzfqT,https://www.threads.com/@gvmonthly/post/DMru8rzzfqT,>>>希望讓大家盡快恢復正常生活 https://www.gvm.com.tw/article/123072,10200,638,294,8,55,jina_api,2025-08-04 06:29:10.187419+00:00,2025-08-04 06:29:10.187419+00:00
gvmonthly,DMru0VvT_jc,https://www.threads.com/@gvmonthly/post/DMru0VvT_jc,看到留言，應該不需要我多說什麼😅,93400,22,3,1,2,jina_api,2025-08-04 06:29:10.178901+00:00,2025-08-04 06:29:10.178901+00:00
gvmonthly,DMsJbIJzj1V,https://www.threads.com/@gvmonthly/post/DMsJbIJzj1V,>>>對人的稱呼是一門大學問 https://www.gvm.com.tw/article/123038,2700,86,8,8,3,jina_api,2025-08-04 06:29:10.170919+00:00,2025-08-04 06:29:10.170919+00:00
gvmonthly,DMsJY4HTMcl,https://www.threads.com/@gvmonthly/post/DMsJY4HTMcl,雖然知道可能是尊敬，但不是每個人都喜歡被叫哥或姊的。,17600,86,8,8,3,jina_api,2025-08-04 06:29:10.162613+00:00,2025-08-04 06:29:10.162613+00:00
gvmonthly,DMt46PyztoF,https://www.threads.com/@gvmonthly/post/DMt46PyztoF,>>>沿海民眾提高警覺並嚴加防範 https://www.gvm.com.tw/article/123096,1900,183,2,1,6,jina_api,2025-08-04 06:29:10.155420+00:00,2025-08-04 06:29:10.155420+00:00
gvmonthly,DMt44Q7TldN,https://www.threads.com/@gvmonthly/post/DMt44Q7TldN,俄羅斯規模8.7地震引發的海嘯也會影響台灣和日本！,65300,183,2,1,6,jina_api,2025-08-04 06:29:10.147321+00:00,2025-08-04 06:29:10.147321+00:00
gvmonthly,DMuNlGjTO_k,https://www.threads.com/@gvmonthly/post/DMuNlGjTO_k,>>>建議學生填上所有想念的校系 https://www.gvm.com.tw/article/123106,1600,43,1,1,2,jina_api,2025-08-04 06:29:10.132974+00:00,2025-08-04 06:29:10.132974+00:00
gvmonthly,DMuNio9TEq8,https://www.threads.com/@gvmonthly/post/DMuNio9TEq8,分科測驗成績出爐，台大醫門檻可能會變高，錄取率可能比去年略低！,20200,43,1,1,2,jina_api,2025-08-04 06:20:21.467342+00:00,2025-08-04 06:20:21.467342+00:00
gvmonthly,DMuXwJWz_44,https://www.threads.com/@gvmonthly/post/DMuXwJWz_44,民進黨會繼續與公民並肩同行，一起走完最後一哩路。,21100,251,1,6,1,jina_api,2025-08-04 06:20:21.459280+00:00,2025-08-04 06:20:21.459280+00:00
gvmonthly,DMuXzYjzhy9,https://www.threads.com/@gvmonthly/post/DMuXzYjzhy9,>>>賴清德承擔所有批評 https://www.gvm.com.tw/article/123114,3400,268,68,1,5,jina_api,2025-08-04 06:20:21.449377+00:00,2025-08-04 06:20:21.449377+00:00
gvmonthly,DMuwjFmTlJY,https://www.threads.com/@gvmonthly/post/DMuwjFmTlJY,風靡全球的《航海王》和樂高首次合作，幕後推手是來自台灣的設計師鄭以謙！,13600,35,1,5,2,jina_api,2025-08-04 06:20:21.440956+00:00,2025-08-04 06:20:21.440956+00:00
gvmonthly,DMwVkeZzpy1,https://www.threads.com/@gvmonthly/post/DMwVkeZzpy1,>>>再加上開放汽車農產市場 https://www.gvm.com.tw/article/123125,3400,636,34,13,13,jina_api,2025-08-04 06:20:21.431693+00:00,2025-08-04 06:20:21.431693+00:00
gvmonthly,DMwhyjITo3Y,https://www.threads.com/@gvmonthly/post/DMwhyjITo3Y,為何母校認定沒有抄襲！高院認定有？憑什麼？台灣法綠令人歎為觀止⋯⋯,27500,1200,18,23,10,jina_api,2025-08-04 06:20:21.419038+00:00,2025-08-04 06:20:21.419038+00:00
gvmonthly,DMuwnDrz-73,https://www.threads.com/@gvmonthly/post/DMuwnDrz-73,>>> 歷時十年的提案終於獲得通過 https://www.gvm.com.tw/article/123107,2100,35,1,5,2,jina_api,2025-08-04 06:20:21.409343+00:00,2025-08-04 06:20:21.409343+00:00
gvmonthly,DMwxTxWTwnB,https://www.threads.com/@gvmonthly/post/DMwxTxWTwnB,>>>一個台灣兩個世界，誰跌出了中產階級？ https://www.gvm.com.tw/article/123025,1300,102,2,2,2,jina_api,2025-08-04 06:20:21.401497+00:00,2025-08-04 06:20:21.401497+00:00
gvmonthly,DMwViOwTROx,https://www.threads.com/@gvmonthly/post/DMwViOwTROx,这所谓的3500亿美元最后能落实35亿美元就算川普赢。你们还记得川普说墨西哥人会出钱建边境墙吗？请问墨西哥人最后有出一毛钱吗？,61700,636,34,13,13,jina_api,2025-08-04 06:20:21.389538+00:00,2025-08-04 06:20:21.389538+00:00
gvmonthly,DMwh01ZTOnZ,https://www.threads.com/@gvmonthly/post/DMwh01ZTOnZ,>>>可能要提上訴 https://www.gvm.com.tw/article/123128,3000,227,23,36,52,jina_api,2025-08-04 06:20:21.375374+00:00,2025-08-04 06:20:21.375374+00:00
gvmonthly,DMyyH5Rz2Ab,https://www.threads.com/@gvmonthly/post/DMyyH5Rz2Ab,>>>賴清德：暫時性關稅「可望再調降」 https://www.gvm.com.tw/article/123155,1800,519,22,5,4,jina_api,2025-08-04 06:10:40.857331+00:00,2025-08-04 06:10:40.857331+00:00
gvmonthly,DMxBCd7zosk,https://www.threads.com/@gvmonthly/post/DMxBCd7zosk,>>>還有提特別條例修正草案 https://www.gvm.com.tw/article/122731,3500,178,6,2,1,jina_api,2025-08-04 06:10:40.851496+00:00,2025-08-04 06:10:40.851496+00:00
gvmonthly,DMwxRh3T21j,https://www.threads.com/@gvmonthly/post/DMwxRh3T21j,當高房價、低薪資、育兒與長照等多重挑戰來襲，中產不再擁有過去的餘裕，而是成為撐起家庭、社會與經濟結構的「壓力鍋」。,12700,23,1,1,,jina_api,2025-08-04 06:10:40.846277+00:00,2025-08-04 06:10:40.846277+00:00
gvmonthly,DMxA9GfzBVH,https://www.threads.com/@gvmonthly/post/DMxA9GfzBVH,726以後：我們不反對發一萬，但是之後再反對,22900,52,8,1,,jina_api,2025-08-04 06:10:40.840814+00:00,2025-08-04 06:10:40.840814+00:00
gvmonthly,DMyyFocTy4z,https://www.threads.com/@gvmonthly/post/DMyyFocTy4z,贏麻了 贏麻了 阿富汗 15% 安哥拉 15% 孟加拉 20% 玻利維亞 15% 波札那 15% 巴西 10% 柬埔寨 19% 喀麥隆 15% 乍得 15% 哥斯大黎加 15% 科特迪瓦 15% 剛果民主共和國 15% 厄瓜多 15% 赤道幾內亞 15% 歐盟：第一欄關稅稅率 > 15% 的商品 0% 福克蘭群島 10% 斐濟 15% 加納 15% 圭亞那15% 冰島 15% 印尼 19% 以色列 15% 「日本 15%」 約旦 15% 賴索托 15% 列支敦斯登 15% 馬達加斯加 15% 馬拉威 15% 馬來西亞 19% 模里西斯 15% 莫三比克 15% 納米比亞 15% 諾魯 15% 紐西蘭 15% 尼加拉瓜 18% 尼日利亞 15% 北馬其頓 15% 挪威 15% 巴基斯坦 19% 巴布亞紐幾內亞 15% 菲律賓19% 「韓國 15%」 斯里蘭卡 20% 台灣 20% 泰國 19% 千里達及托巴哥 15% 土耳其 15% 烏幹達 15% 英國 10% 萬那杜 15% 委內瑞拉 15% 越南 20%,30200,2200,6,92,14,jina_api,2025-08-04 06:10:40.835859+00:00,2025-08-04 06:10:40.835859+00:00
gvmonthly,DMzXuRyzsy6,https://www.threads.com/@gvmonthly/post/DMzXuRyzsy6,台灣沒有輸！和美國的談判目前只差臨門一腳,19300,1200,52,76,78,jina_api,2025-08-04 06:10:40.828930+00:00,2025-08-04 06:10:40.828930+00:00
gvmonthly,DMzC3BhT0W8,https://www.threads.com/@gvmonthly/post/DMzC3BhT0W8,>>>世代交替，備戰IPO前哨戰？ https://www.gvm.com.tw/article/123157,2300,52,1,1,,jina_api,2025-08-04 06:10:40.824579+00:00,2025-08-04 06:10:40.824579+00:00
gvmonthly,DMzXv2mT259,https://www.threads.com/@gvmonthly/post/DMzXv2mT259,>>>賴清德：此刻不宜定論談判成敗 https://www.gvm.com.tw/article/123170,2000,185,38,2,1,jina_api,2025-08-04 06:10:40.817745+00:00,2025-08-04 06:10:40.817745+00:00
gvmonthly,DMzC0PNzQHf,https://www.threads.com/@gvmonthly/post/DMzC0PNzQHf,全台最貴度假飯店，開幕不到一年，現任總經理林子寬突然要申請退休了！,34800,201,9,6,24,jina_api,2025-08-04 06:10:40.813248+00:00,2025-08-04 06:10:40.813248+00:00
gvmonthly,DMzvyiSzkdc,https://www.threads.com/@gvmonthly/post/DMzvyiSzkdc,>>>232條款恐怕衝擊高科技產品 https://www.gvm.com.tw/article/123178,2300,447,25,8,3,jina_api,2025-08-04 06:10:40.806716+00:00,2025-08-04 06:10:40.806716+00:00
gvmonthly,DM19exNTcnD,https://www.threads.com/@gvmonthly/post/DM19exNTcnD,>>> 國際旅客人數好多 https://www.gvm.com.tw/article/123133,2100,38,1,1,2,jina_api,2025-08-04 06:09:57.641549+00:00,2025-08-04 06:09:57.641549+00:00
gvmonthly,DM2eaiJzEZ8,https://www.threads.com/@gvmonthly/post/DM2eaiJzEZ8,>>>國道五號能比較不塞車？ https://www.gvm.com.tw/article/123182,3800,28,1,1,,jina_api,2025-08-04 06:09:57.635537+00:00,2025-08-04 06:09:57.635537+00:00
gvmonthly,DMzvu4MTpis,https://www.threads.com/@gvmonthly/post/DMzvu4MTpis,關稅+台幣升值，傳產業者們「海嘯第一排」,28400,84,9,1,1,jina_api,2025-08-04 06:09:57.630551+00:00,2025-08-04 06:09:57.630551+00:00
