貼文ID,URL,內容,觀看數,按讚數,留言數,轉發數,分享數,來源,創建時間,提取時間
DMkjA6Sq0Rh,https://www.threads.com/@natgeo/post/DMkjA6Sq0Rh,,388000,2200,7,73,54,API-失敗回退,2025-08-04 06:45:10.144265+00:00,2025-08-04 06:45:10.144265+00:00
DMVsAjYNVfk,https://www.threads.com/@natgeo/post/DMVsAjYNVfk,,500000,32,1,1,,jina_api,2025-08-04 06:45:10.131393+00:00,2025-08-04 06:45:10.131393+00:00
DMSy3RVNma0,https://www.threads.com/@natgeo/post/DMSy3RVNma0,,36600,179,3,2,12,jina_api,2025-08-04 06:45:10.120998+00:00,2025-08-04 06:45:10.120998+00:00
DMYlLUYJcl9,https://www.threads.com/@natgeo/post/DMYlLUYJcl9,,24800,42,7,2,1,API-失敗回退,2025-08-04 06:45:10.110279+00:00,2025-08-04 06:45:10.110279+00:00
DMbCFyytagz,https://www.threads.com/@natgeo/post/DMbCFyytagz,,117000,730,6,18,20,jina_api,2025-08-04 06:45:10.101831+00:00,2025-08-04 06:45:10.101831+00:00
DMSeB2kMzli,https://www.threads.com/@natgeoanimals/post/DMSeB2kMzli,,69300,99,1,3,1,jina_api,2025-08-04 06:45:10.092381+00:00,2025-08-04 06:45:10.092381+00:00
DMa8u6txIg1,https://www.threads.com/@natgeo/post/DMa8u6txIg1,,309000,730,6,18,20,jina_api,2025-08-04 06:45:10.083175+00:00,2025-08-04 06:45:10.083175+00:00
DMfc3CYNiuY,https://www.threads.com/@natgeo/post/DMfc3CYNiuY,,26800,177,1,2,2,jina_api,2025-08-04 06:45:10.073891+00:00,2025-08-04 06:45:10.073891+00:00
DMSrwppMjEN,https://www.threads.com/@natgeoanimals/post/DMSrwppMjEN,,75800,322,3,9,3,jina_api,2025-08-04 06:45:10.063659+00:00,2025-08-04 06:45:10.063659+00:00
DMc4D09Nxqy,https://www.threads.com/@natgeo/post/DMc4D09Nxqy,,793000,4900,15,638,20,jina_api,2025-08-04 06:45:10.051534+00:00,2025-08-04 06:45:10.051534+00:00
DMc-7W-tsX4,https://www.threads.com/@natgeoanimals/post/DMc-7W-tsX4,,98000,193,4,2,4,jina_api,2025-08-04 06:42:42.175743+00:00,2025-08-04 06:42:42.175743+00:00
DMnHzyZtEqB,https://www.threads.com/@natgeo/post/DMnHzyZtEqB,,510000,108,2,1,,jina_api,2025-08-04 06:42:42.168298+00:00,2025-08-04 06:42:42.168298+00:00
DMndYzZsCiO,https://www.threads.com/@natgeoanimals/post/DMndYzZsCiO,,87600,909,2,27,7,jina_api,2025-08-04 06:42:42.159882+00:00,2025-08-04 06:42:42.159882+00:00
DMpwE7atY17,https://www.threads.com/@natgeo/post/DMpwE7atY17,,46000,218,4,1,1,jina_api,2025-08-04 06:42:42.153023+00:00,2025-08-04 06:42:42.153023+00:00
DMu6CoTN_qg,https://www.threads.com/@natgeo/post/DMu6CoTN_qg,,26000,185,3,1,4,jina_api,2025-08-04 06:42:42.145526+00:00,2025-08-04 06:42:42.145526+00:00
DMxfVjqtcKL,https://www.threads.com/@natgeo/post/DMxfVjqtcKL,,154000,4400,109,291,7,jina_api,2025-08-04 06:42:42.139211+00:00,2025-08-04 06:42:42.139211+00:00
DM5MzZStCEh,https://www.threads.com/@natgeo/post/DM5MzZStCEh,,425000,22,1,3,,jina_api,2025-08-04 06:42:42.130959+00:00,2025-08-04 06:42:42.130959+00:00
DM0X0DTNr_r,https://www.threads.com/@natgeo/post/DM0X0DTNr_r,,540000,743,7,2,1,jina_api,2025-08-04 06:42:42.124239+00:00,2025-08-04 06:42:42.124239+00:00
